League,Club,PlayerName,Mins,Goals,Shots,OnTarget,Year
France Ligue 8,(MAR),Dario Benedetto,2214,11,61,27,2019
La Liga,(BET),Juanmi Callejon,1849,11,48,20,2016
France Ligue 13,(MPE),Gaetan Laborde,3115,11,86,27,2018
Premier League,(WHU),Michail Antonio,2493,11,79,25,2016
Bundesliga,Sandro,Wagner ,2695,11,65,35,2016
Bundesliga,(FCA),Florian Niederlechner,2477,11,79,56,2016
Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,4177,11,51,21,2018
Campeonato Brasileiro SÃ©rie A,None,Leandro Pereira ,2575,11,80,33,2018
Serie A,(ATA),Josip Ilicic,2115,11,89,36,2017
France Ligue 14,(SIV),Max Gradel,3446,11,120,42,2018
France Ligue 16,(ANG),Stephane Bahoken,2541,11,66,33,2018
France Ligue 15,(REN),M'Baye Niang,1911,11,64,25,2018
Bundesliga,(UNB),Max Kruse,2975,11,91,40,2018
Bundesliga,(KOL),Ondrej Duda,2661,11,54,20,2018
Bundesliga,(ACM),Ante Rebic,2075,11,61,28,2018
Serie A,(PSG),Mauro Icardi,2314,11,73,29,2018
Serie A,(PAR),Gervinho ,2430,11,44,19,2018
Serie A,None,Stephan El Shaarawy,2213,11,70,30,2018
Serie A,(SAS),Gregoire Defrel,2388,11,47,23,2018
Campeonato Brasileiro SÃ©rie A,(GRE),Diego Souza,1953,11,74,30,2017
Campeonato Brasileiro SÃ©rie A,(CFC),Ricardo Oliveira,1834,11,53,25,2016
La Liga,(LEV),Sergio Leon,2071,11,65,27,2017
La Liga,(SOC),Portu ,3081,11,49,25,2017
Campeonato Brasileiro SÃ©rie A,(OPE),Roger ,1465,11,47,20,2017
Serie A,(ATA),Duvan Zapata,2229,11,57,22,2017
Serie A,(BAR),Mirco Antenucci,2735,11,65,26,2017
Serie A,(LAZ),Luis Alberto,2797,11,81,25,2017
Bundesliga,(STP),Guido Burgstaller,2447,11,55,25,2017
Serie A,(CAG),Leonardo Pavoletti,2897,11,87,34,2017
Bundesliga,(BAY),Serge Gnabry,2028,11,62,33,2016
Serie A,(INT),Ivan Perisic,3491,11,116,38,2017
La Liga,(EIB),Sergi Enrich,2904,11,64,26,2016
Campeonato Brasileiro SÃ©rie A,(TIG),Nico Lupez,3931,11,79,33,2018
La Liga,(MON),Wissam Ben Yedder,1735,11,44,23,2016
Bundesliga,(BMG),Lars Stindl,2673,11,68,50,2016
Bundesliga,(LAG),Chicharito ,1895,11,52,30,2016
La Liga,(ALA),Joselu,2990,11,87,30,2019
Premier League,(LIV),Roberto Firmino,3228,11,104,43,2016
La Liga,(RMA),Karim Benzema,1967,11,69,34,2016
MLS,(COL),Brian Fernandez,1555,11,69,30,2019
La Liga,(ALA),Lucas Perez,2673,11,48,18,2019
La Liga,(SOC),Willian Jose,2171,11,59,19,2019
Serie A,(ACM),Zlatan Ibrahimovic,557,10,35,16,2020
Bundesliga,(SVW),Davie Selke,1974,10,47,22,2017
Serie A,(NAP),Lorenzo Insigne,2191,10,120,37,2018
La Liga,(OSA),Chimy Avila,2131,10,88,24,2018
Bundesliga,(MON),Kevin Volland,2159,10,78,32,2019
Campeonato Brasileiro SÃ©rie A,(SAP),Vitor Bueno,2670,10,73,30,2016
Bundesliga,(DOR),Thorgan Hazard,3062,10,87,33,2017
Campeonato Brasileiro SÃ©rie A,(FLA),Diego ,2089,10,56,22,2017
Bundesliga,(BMG),Alassane Plea,2252,10,77,35,2019
Campeonato Brasileiro SÃ©rie A,None,Dudu ,1751,10,45,23,2017
Campeonato Brasileiro SÃ©rie A,(RBB),Claudinho ,1657,10,53,19,2020
Campeonato Brasileiro SÃ©rie A,(CAM),Keno ,3093,10,73,25,2016
Campeonato Brasileiro SÃ©rie A,(FLA),Michael ,3180,10,80,32,2019
France Ligue 11,(REN),M'Baye Niang,2276,10,66,30,2019
Campeonato Brasileiro SÃ©rie A,(FLA),Pedro ,1207,10,46,25,2020
Campeonato Brasileiro SÃ©rie A,(SAP),Santiago Trellez,1694,10,53,20,2017
Campeonato Brasileiro SÃ©rie A,None,Jonathan Copete,2147,10,37,17,2016
Bundesliga,(DOR),Erling Haaland,683,10,30,14,2020
Campeonato Brasileiro SÃ©rie A,Bruno,Henrique ,3149,10,58,22,2019
Bundesliga,(BMG),Marcus Thuram,2296,10,56,36,2019
France Ligue 10,(STE),Denis Bouanga,2173,10,78,37,2019
Serie A,(TOR),Andrea Belotti,2854,10,86,28,2017
La Liga,(SEV),Carlos Fernandez,2428,10,47,19,2019
Bundesliga,(BAY),Serge Gnabry,1555,10,49,23,2017
La Liga,(LEV),Morales ,3180,10,61,25,2017
La Liga,(SEV),Munir ,2517,10,62,23,2017
Serie A,(FIO),Jose Callejon,3359,10,64,32,2017
La Liga,(SOC),Mikel Oyarzabal,3247,10,62,22,2019
Primeira Liga,None,Tiquinho Soares,1867,10,55,21,2019
Campeonato Brasileiro SÃ©rie A,(INT),Paolo Guerrero,2193,10,81,33,2019
MLS,(LAG),Cristian Pavon,2106,10,63,25,2020
Eredivisie,(UTR),Gyrano Kerk,2155,10,50,18,2020
France Ligue 19,(LYO),Memphis Depay,2900,10,110,39,2018
Primeira Liga,(POR),Toni MartÃ­nez,2312,10,74,29,2019
Primeira Liga,None,Sandro Lima,2747,10,66,31,2019
Campeonato Brasileiro SÃ©rie A,None,Bruno Rangel ,2016,10,35,17,2016
MLS,(ORL),Chris Mueller,1726,10,38,20,2020
La Liga,(BET),Loren Moron,2222,10,52,18,2019
Bundesliga,(SCF),Nils Petersen,1351,10,52,33,2016
Campeonato Brasileiro SÃ©rie A,(VDG),German Cano,1733,10,37,22,2020
Campeonato Brasileiro SÃ©rie A,(VDG),Yago Pikachu,3192,10,77,37,2018
Campeonato Brasileiro SÃ©rie A,None,Leandro Damiao ,3236,10,67,27,2018
Campeonato Brasileiro SÃ©rie A,(CAM),Keno ,1829,10,72,31,2020
La Liga,(SOC),Cedric Bakambu,1633,10,50,26,2016
Campeonato Brasileiro SÃ©rie A,(LYO),Lucas Paqueta,2962,10,95,40,2018
France Ligue 17,(LOK),Francois Kamano,2698,10,82,33,2018
France Ligue 18,(STR),Lebo Mothiba,2154,10,36,19,2018
La Liga,(GET),Angel Rodriguez,1611,10,53,23,2019
Bundesliga,(SCH),Benito Raman,1781,10,55,26,2018
Bundesliga,(FCA),Alfred Finnbogason,1385,10,40,18,2018
La Liga,(RMA),Isco,1690,10,32,15,2016
Premier League,(ROM),Pedro None,2250,10,59,17,2016
Premier League,(EVE),Dominic Calvert-Lewin,940,10,32,18,2020
France Ligue 20,(BOR),Remi Oudin,2719,10,78,24,2018
Campeonato Brasileiro SÃ©rie A,(PAL),Willian ,2153,10,66,29,2018
France Ligue 1,(PSG),Kylian Mbappe-Lottin,610,9,33,20,2020
Eredivisie,(VVV),Georgios Giakoumakis,911,9,35,14,2019
MLS,(TOR),Alex Pozuelo,2247,9,57,25,2020
Campeonato Brasileiro SÃ©rie A,(FLA),Giorgian de Arrascaeta,2423,9,75,24,2016
Campeonato Brasileiro SÃ©rie A,(chongqing dangdai lifan f.c),Marcelo  Cirino,2062,9,51,17,2019
MLS,(MON),Romell Quioto,1676,9,54,23,2020
Campeonato Brasileiro SÃ©rie A,None,Kempes ,1684,9,44,21,2016
Campeonato Brasileiro SÃ©rie A,(SAP),Pablo ,2757,9,63,24,2016
Campeonato Brasileiro SÃ©rie A,(CEA),Rogerio ,2051,9,81,28,2016
Campeonato Brasileiro SÃ©rie A,(SAN),Yeferson Soteldo,2883,9,68,26,2019
Bundesliga,(STP),Guido Burgstaller,1494,9,45,24,2016
Premier League,(TOT),Son Heung-Min,861,9,20,12,2020
Eredivisie,(TWE),Danilo Nome,827,9,31,16,2019
Campeonato Brasileiro SÃ©rie A,None,Dudu ,3313,9,95,38,2019
Eredivisie,(FEY),Steven Berghuis,896,9,39,21,2019
Campeonato Brasileiro SÃ©rie A,(HUR),Andres Chavez,1786,9,67,32,2016
Campeonato Brasileiro SÃ©rie A,(BOT),Cicero Semedo,3322,9,62,27,2016
Bundesliga,(WOB),Maximilian Philipp,2000,9,53,34,2016
Campeonato Brasileiro SÃ©rie A,None,Kleber Gladiador,2143,9,50,23,2016
MLS,(TOR),Ayo Akinola,1195,9,37,19,2020
Campeonato Brasileiro SÃ©rie A,(GOI),Rafael Moura,1661,9,48,14,2019
France Ligue 16,(REN),Sehrou Guirassy,2030,9,45,19,2019
Bundesliga,(NAN),Jean-Kevin Augustin,1330,9,37,18,2017
Campeonato Brasileiro SÃ©rie A,(BEN),Everton ,2175,9,88,38,2018
France Ligue 13,(MAR),Dimitri Payet,2057,9,63,26,2019
Campeonato Brasileiro SÃ©rie A,None,Junior  Dutra,2022,9,75,25,2017
Bundesliga,(BMG),Lars Stindl,1518,9,33,15,2019
Serie A,Mario,Mandzukic None,2125,9,31,17,2018
Serie A,(ROM),Edin Dzeko,2741,9,131,50,2018
Serie A,(PAR),Roberto Inglese,2075,9,47,21,2018
Campeonato Brasileiro SÃ©rie A,(ALA),Deyverson ,1367,9,41,19,2018
Campeonato Brasileiro SÃ©rie A,(SCR),Thiago Neves,2383,9,102,51,2017
Eredivisie,(AJA),Klaas-Jan Huntelaar,938,9,32,17,2020
Eredivisie,(CSK),Chidera Ejuke,2147,9,60,25,2020
Campeonato Brasileiro SÃ©rie A,None,Roger Guedes ,1081,9,42,20,2018
Campeonato Brasileiro SÃ©rie A,(FLA),Pedro ,1689,9,56,18,2018
Bundesliga,(LEV),Leon Bailey,2317,9,76,27,2017
Primeira Liga,(MAR),Rodrigo Pinho,1732,9,48,22,2019
France Ligue 15,(LYO),Memphis Depay,1077,9,48,21,2019
Campeonato Brasileiro SÃ©rie A,(GRE),Luiz Fernando,1769,9,42,16,2017
France Ligue 12,(MPE),Andy Delort,2409,9,84,29,2019
Campeonato Brasileiro SÃ©rie A,Bruno,Henrique ,2595,9,46,15,2018
Bundesliga,(VfB),Daniel Didavi,2312,9,55,19,2017
Bundesliga,(DOR),Julian Brandt,2419,9,43,22,2017
Primeira Liga,(LIS),Pote ,631,9,21,13,2019
Campeonato Brasileiro SÃ©rie A,(SAP),Hernanes ,1222,9,52,23,2017
Eredivisie,(EMM),Michael de Leeuw,2383,9,51,23,2020
Campeonato Brasileiro SÃ©rie A,None,Luiz Fernando,1792,9,54,22,2017
Campeonato Brasileiro SÃ©rie A,(FOR),Wellington Paulista,2278,9,63,30,2017
France Ligue 14,(LEI),Islam Slimani,1378,9,53,20,2019
MLS,(SJE),Chris Wondolowski,1509,8,35,20,2020
Primeira Liga,(MNU),Bruno Fernandes,1656,8,60,23,2019
MLS,(RSL),Damir Kreilach,1872,8,48,19,2020
MLS,(LAF),Bradley Wright-Phillips,1190,8,33,15,2020
Primeira Liga,(MIJ),Bozhidar Kraev,2399,8,46,19,2019
MLS,(SOU),Nicolas Lodeiro,2014,8,43,19,2020
MLS,(POR),Jeremy Ebobisse,1189,8,33,15,2020
MLS,(POR),Diego Valeri,1864,8,44,17,2020
MLS,(ORL),Daryl Dike,1482,8,33,13,2020
Primeira Liga,(FEY),Joao Teixeira,1416,8,34,14,2019
Primeira Liga,(AVE),Mehrdad Mohammadi,2495,8,56,19,2019
Primeira Liga,(BAR),Trincao ,1749,8,47,19,2019
Bundesliga,(HKI),Fin Bartels,2315,8,42,29,2016
Campeonato Brasileiro SÃ©rie A,(BAH),Gilberto ,1623,8,52,17,2018
MLS,(PHI),Kacper Przybylko,2216,8,56,27,2020
MLS,(NER),Gustavo Bou,1701,8,81,28,2020
France Ligue 2,(REI),Boulaye Dia,772,8,25,12,2020
Campeonato Brasileiro SÃ©rie A,(FLU),Nene ,2636,8,58,20,2018
Bundesliga,(RBL),Emil Forsberg,2420,8,49,32,2016
Serie A,(JUV),Cristiano Ronaldo,397,8,26,13,2020
Campeonato Brasileiro SÃ©rie A,(FLA),Bruno Henrique,2136,8,52,24,2017
Bundesliga,(MAI),Adam Szalai,833,8,18,15,2016
France Ligue 17,(REN),Adrien Hunou,1325,8,28,15,2019
Campeonato Brasileiro SÃ©rie A,(GRE),Pepe,1836,8,46,16,2019
France Ligue 19,(STR),Ludovic Ajorque,2163,8,50,22,2019
Campeonato Brasileiro SÃ©rie A,(SAN),Marinho ,1917,8,73,26,2019
Campeonato Brasileiro SÃ©rie A,(COR),Juan Cazares,2487,8,66,18,2018
Campeonato Brasileiro SÃ©rie A,(RMA),Rodrygo ,2850,8,52,23,2018
France Ligue 18,(PSG),Ãngel Di Maria,2106,8,74,24,2019
Campeonato Brasileiro SÃ©rie A,(BEN),Everton ,1224,8,54,30,2017
Campeonato Brasileiro SÃ©rie A,(CRU),Arthur Caike,2824,8,85,25,2017
Primeira Liga,(VGU),Bruno Duarte,1684,8,42,16,2019
Eredivisie,(MNU),Donny van de Beek,2023,8,44,16,2020
Premier League,(LEI),Jamie Vardy,780,8,21,15,2020
Premier League,(LIV),Mohamed Salah,831,8,35,15,2020
Eredivisie,(HEE),Henk Veerman,916,8,32,14,2019
Bundesliga,(LEV),Lucas Alario,561,7,20,11,2020
Bundesliga,(MAI),Jean-Philippe Mateta,723,7,23,12,2020
Bundesliga,(HOF),Andrej Kramaric,481,7,23,14,2020
Eredivisie,(PSV),Denzel Dumfries,2363,7,45,14,2020
Serie A,(INT),Romelu Lukaku,580,7,22,10,2020
Bundesliga,(FRA),Andre Silva,802,7,37,16,2020
Premier League,(NEW),Callum Wilson,835,7,18,8,2020
Serie A,(TOR),Andrea Belotti,754,7,24,11,2020
Premier League,(MNU),Bruno Fernandes,809,7,30,14,2020
Eredivisie,Aitor,Cantalapiedra ,1933,7,58,23,2020
Campeonato Brasileiro SÃ©rie A,(FLU),Nene ,1434,7,35,13,2020
Campeonato Brasileiro SÃ©rie A,(GRE),Pepe,1397,7,32,13,2020
Campeonato Brasileiro SÃ©rie A,(CAP),Renato Kayzer,1639,7,46,21,2020
Campeonato Brasileiro SÃ©rie A,(PAL),Luiz Adriano,1235,7,21,13,2020
Campeonato Brasileiro SÃ©rie A,(CEA),Vinicius ,1348,7,51,24,2020
Premier League,(LEE),Patrick Bamford,898,7,40,17,2020
Premier League,(TOT),Harry Kane,956,7,39,15,2020
Eredivisie,(HER),Rai Vloet,853,7,21,9,2019
Eredivisie,(PSV),Cody Gakpo,1557,7,38,15,2020
Eredivisie,(AJA),Lassina Traore,506,7,18,8,2019
La Liga,(SOC),Mikel Oyarzabal,736,7,31,16,2020
France Ligue 20,(STR),Adrien Thomasson,2168,7,50,18,2019
Campeonato Brasileiro SÃ©rie A,(SJE),Andres Rios,2188,7,43,18,2018
Eredivisie,(AJA),Dusan Tadic,719,7,20,13,2019
Campeonato Brasileiro SÃ©rie A,(RBB),Artur ,3049,7,64,19,2019
France Ligue 3,(MPE),Andy Delort,902,6,31,14,2020
Premier League,(AVL),Ollie Watkins,872,6,22,9,2020
France Ligue 5,(MET),Ibrahima Niane,482,6,21,9,2020
France Ligue 4,(LIL),Burak Yilmaz,903,6,28,17,2020
Bundesliga,(WOB),Wout Weghorst,778,6,25,14,2020
Bundesliga,(BSC),Matheus Cunha,857,6,26,15,2020
Campeonato Brasileiro SÃ©rie A,(BOT),Matheus Babi,1709,6,32,14,2020
Campeonato Brasileiro SÃ©rie A,(SAP),Brenner None,1063,6,36,14,2020
Bundesliga,(UNB),Max Kruse,669,6,13,10,2020
Eredivisie,(PSV),Donyell Malen,725,6,32,17,2019
Campeonato Brasileiro SÃ©rie A,(PAL),Raphael Veiga,914,6,27,11,2020
Campeonato Brasileiro SÃ©rie A,(FOR),Wellington Paulista,1208,6,24,12,2020
Eredivisie,(SPR),Lennart Thy,768,6,20,11,2019
France Ligue 6,(MON),Wissam Ben,879,6,30,8,2020
Primeira Liga,(SAN),Thiago Santana,714,6,24,12,2019
La Liga,(VIL),Gerard Moreno,822,6,29,11,2020
Primeira Liga,(MAR),Rodrigo Pinho,646,6,17,8,2019
Campeonato Brasileiro SÃ©rie A,(CFC),Robson,1937,6,53,17,2020
Primeira Liga,(BEN),Haris  Seferovic,337,6,12,7,2019
Serie A,(CAG),Joao Pedro,831,6,21,10,2020
France Ligue 11,(LYO),Memphis Depay,903,5,30,10,2020
Premier League,(CRY),Wilfried Zaha,779,5,18,7,2020
Premier League,(AVL),Jack Grealish,872,5,26,9,2020
France Ligue 7,(LEN),Gael Kakuta,786,5,18,6,2020
Premier League,None,Danny Ings ,662,5,15,9,2020
La Liga,(CEL),Iago Aspas,1056,5,21,12,2020
France Ligue 12,(ANG),Stephane Bahoken,644,5,30,14,2020
France Ligue 9,(LYO),Karl Toko,822,5,27,12,2020
France Ligue 10,(MON),Kevin Volland,709,5,12,11,2020
France Ligue 8,(BRE),Irvin Cardona,627,5,21,8,2020
Eredivisie,(AJA),Davy Klaassen,490,5,13,8,2019
Eredivisie,(EMM),Michael de Leeuw,723,5,15,7,2019
Eredivisie,(VIT),Lois Openda,775,5,28,9,2019
Serie A,(SAM),Fabio Quagliarella,694,5,23,9,2020
Serie A,(BOL),Roberto Soriano,849,5,18,7,2020
Serie A,(SAS),Francesco Caputo,567,5,18,9,2020
Serie A,(CAG),Giovanni Simeone,664,5,15,5,2020
Serie A,(ROM),Henrikh Mkhitaryan,825,5,30,14,2020
Serie A,(INT),Lautaro MartInez,656,5,29,11,2020
Campeonato Brasileiro SÃ©rie A,(CEA),Cleber ,1336,5,41,13,2020
La Liga,(VIL),Paco Alcacer,693,5,16,8,2020
Campeonato Brasileiro SÃ©rie A,(RBB),Alerrandro ,861,5,24,11,2020
Serie A,(LAZ),Ciro Immobile,571,5,22,8,2020
Premier League,(LIV),Diogo Jota,530,5,20,11,2020
La Liga,(ATL),Luis Suarez,387,5,22,8,2020
La Liga,(ATL),Joao Felix,641,5,21,6,2020
Campeonato Brasileiro SÃ©rie A,(FLA),Bruno Henrique,1412,5,45,18,2020
Eredivisie,(VIT),Armando Broja,569,5,12,6,2019
Premier League,(WHU),Jarrod Bowen,845,4,22,5,2020
Primeira Liga,(FAM),Ruben Lameiras,624,4,15,9,2019
Primeira Liga,(BEN),Gian-Luca Waldschmidt,605,4,15,6,2019
Premier League,(WOL),Raul Jimenez,872,4,26,10,2020
Primeira Liga,(POR),Sergio Oliveira,642,4,17,8,2019
Eredivisie,(PSV),Noni Madueke,524,4,17,7,2019
Eredivisie,(WIL),Vangelis Pavlidis,927,4,26,15,2019
Eredivisie,(SPR),Abdou Harroui,834,4,24,13,2019
Eredivisie,(AJA),Antony None,575,4,20,8,2019
Eredivisie,(TWE),Vaclav Cerny,824,4,21,12,2019
Eredivisie,(VIT),Oussama Tannane,680,4,40,9,2019
Eredivisie,(AJA),Quincy Promes,574,4,22,10,2019
Premier League,(MNC),Riyad Mahrez,612,4,21,10,2020
Premier League,(LIV),Sadio Mane,785,4,27,13,2020
Premier League,(BHA),Neal Maupay,786,4,25,11,2020
France Ligue 19,(DIJ),Mama Balde,669,4,30,10,2020
Premier League,(CHE),Timo Werner,876,4,23,10,2020
La Liga,(SEV),Youssef   En-Nesyri,465,4,14,4,2020
La Liga,(BAR),Ansu Fati,451,4,14,7,2020
La Liga,(BAR),Lionel Messi,824,4,39,19,2020
Bundesliga,(BAY),Thomas Muller,822,4,13,5,2020
Serie A,(ATA),Alejandro Gomez,643,4,28,11,2020
Bundesliga,(RBL),Dani Olmo,834,4,19,8,2020
Bundesliga,(BAY),Serge Gnabry,626,4,18,9,2020
Serie A,(NAP),Hirving Lozano,568,4,18,11,2020
Bundesliga,(BMG),Lars Stindl,567,4,19,9,2020
Serie A,(NAP),Dries Mertens,616,4,24,11,2020
La Liga,(LEV),Morales ,758,4,17,8,2020
Serie A,(ATA),Luis Muriel,264,4,20,7,2020
Serie A,(PAR),Gervinho ,669,4,13,5,2020
Serie A,(ROM),Jordan Veretout,769,4,18,7,2020
Serie A,(SAS),Domenico Berardi,766,4,21,11,2020
Serie A,(FIO),Gaetano Castrovilli,755,4,11,7,2020
Bundesliga,(SVW),Niclas Fullkrug,293,4,13,7,2020
La Liga,(GET),Angel Rodriguez,501,4,14,7,2020
France Ligue 14,(MAR),Florian Thauvin,835,4,21,8,2020
La Liga,(SOC),Portu ,691,4,6,4,2020
Premier League,(SOU),James Ward-Prowse,960,4,10,7,2020
La Liga,(RMA),Karim Benzema,741,4,27,12,2020
France Ligue 17,(STR),Ludovic Ajorque,1008,4,17,8,2020
France Ligue 16,(LIL),Jonathan Bamba,1061,4,25,9,2020
France Ligue 13,(NIC),Amine Gouiri,903,4,26,10,2020
France Ligue 15,(LEN),Ignatius Ganago,452,4,14,7,2020
France Ligue 20,(PSG),Moise Kean,454,4,14,5,2020
La Liga,(VAL),Carlos Soler,599,4,8,5,2020
France Ligue 18,(NAN),Ludovic Blas,990,4,19,7,2020
La Liga,(BET),Cristian Tello,629,4,22,8,2020
Bundesliga,(SCF),Nils Petersen,608,4,15,7,2020
Primeira Liga,(GIL),Samuel Lino,591,3,16,5,2019
Primeira Liga,(NAC),Brayan Riascos,736,3,26,11,2019
La Liga,(EIB),Kike GarcIa,790,3,19,8,2020
Primeira Liga,(BOA),Angel Gomes,530,3,12,3,2019
La Liga,(RMA),Federico Valverde,566,3,9,5,2020
Bundesliga,(FRA),Bas Dost,732,3,14,8,2020
La Liga,(ALA),Lucas Perez,637,3,13,6,2020
Bundesliga,(FCA),Andre Hahn,547,3,12,6,2020
Bundesliga,(BSC),Jhon Cordoba,493,3,18,5,2020
Bundesliga,(FCA),Daniel Caligiuri,841,3,11,5,2020
La Liga,(EIB),Esteban Burgos,589,3,5,4,2020
La Liga,(BAR),Antoine Griezmann,634,3,18,8,2020
Bundesliga,(KOL),Ellyes Skhiri,709,3,6,3,2020
Primeira Liga,(LIS),Nuno Santos,567,3,10,5,2019
Primeira Liga,None,Alex Telles ,280,2,9,5,2019
Primeira Liga,(LIS),Andraz Sporar,356,2,14,7,2019
Primeira Liga,(VGU),Andre Andre,645,2,7,2,2019
Primeira Liga,(FER),Douglas Tanque,644,2,25,9,2019
Primeira Liga,(VGU),Bruno Duarte,509,2,13,3,2019
Primeira Liga,(FAM),Carlos Valenzuela,575,2,10,3,2019
Primeira Liga,(BRA),Bruno Viana,780,2,7,2,2019
Primeira Liga,(FAR),Eduardo Mancha,396,2,5,2,2019
Primeira Liga,(BEN),Everton ,622,2,11,7,2019
